"bin bottom",azimuth,altitude,"distance (m)",latitude,longitude,"elevation (m amsl)"
0,0.097469,3.006831,46621.406849,37.652500,-118.282500,3805.000000
0.125,0.232117,3.065303,43843.223551,37.627500,-118.281389,3687.000000
0.25,0.360038,3.142545,43909.129360,37.628056,-118.280278,3750.000000
0.375,0.488283,3.195884,43912.387283,37.628056,-118.279167,3791.000000
0.5,0.616959,3.232172,43884.173759,37.627778,-118.278056,3817.000000
0.625,0.74634,3.284073,43826.050914,37.627222,-118.276944,3853.000000
0.75,0.874839,3.358319,43831.109776,37.627222,-118.275833,3910.000000
0.875,0.971208,3.381698,43833.472228,37.627222,-118.275000,3928.000000
1,1.09969,3.411545,43836.760764,37.627222,-118.273889,3951.000000
1.125,1.227292,3.433500,43870.791080,37.627500,-118.272778,3970.000000
1.25,1.35566,3.452856,43874.006528,37.627500,-118.271667,3985.000000
1.375,1.485066,3.489210,43847.415684,37.627222,-118.270556,4011.000000
1.5,1.613496,3.500710,43850.683201,37.627222,-118.269444,4020.000000
1.625,1.644436,3.500558,43882.284734,37.627500,-118.269167,4022.000000
1.75,1.846974,3.500882,39092.288211,37.584444,-118.269167,3703.000000
1.875,1.987917,3.529616,39158.712982,37.585000,-118.268056,3727.000000
2,2.095805,3.543956,39162.017216,37.585000,-118.267222,3737.000000
2.125,2.236086,3.565238,39228.534455,37.585556,-118.266111,3756.000000
2.25,2.345623,3.573818,39201.004904,37.585278,-118.265278,3760.000000
2.375,2.383429,3.573847,39171.133577,37.585000,-118.265000,3758.000000
2.5,2.608846,3.584194,44409.542822,37.631944,-118.260556,4122.000000
2.625,2.731742,3.665737,44480.350988,37.632500,-118.259444,4190.000000
2.75,2.854268,3.720061,44549.950855,37.633056,-118.258333,4237.000000
2.875,2.976426,3.734490,44617.563705,37.633611,-118.257222,4253.000000
3,3.100372,3.813105,44658.134445,37.633889,-118.256111,4317.000000
3.125,3.16337,3.823090,44661.407184,37.633889,-118.255556,4325.000000
3.25,3.260119,3.806373,44633.726487,37.633611,-118.254722,4310.000000
3.375,3.388512,3.747210,44605.241541,37.633333,-118.253611,4262.000000
3.5,3.624384,3.706677,39005.304875,37.583056,-118.255556,3837.000000
3.625,3.735534,3.734279,38980.533877,37.582778,-118.254722,3854.000000
3.75,3.843771,3.770422,38987.189934,37.582778,-118.253889,3879.000000
3.875,3.991221,3.805200,38964.794043,37.582500,-118.252778,3901.000000
4,4.109295,3.812920,38877.860935,37.581667,-118.251944,3900.000000
4.125,4.221149,3.845023,38853.983816,37.581389,-118.251111,3920.000000
4.25,4.358901,3.865586,38924.089735,37.581944,-118.250000,3939.000000
4.375,4.499743,3.886418,38963.607834,37.582222,-118.248889,3956.000000
4.5,4.575522,3.905446,38937.641292,37.581944,-118.248333,3967.000000
4.625,4.647701,3.899149,38941.301820,37.581944,-118.247778,3963.000000
4.75,4.752154,3.871730,38976.835225,37.582222,-118.246944,3947.000000
4.875,4.879691,3.836053,38827.192556,37.580833,-118.246111,3912.000000
5,5.020356,3.809824,38865.250910,37.581111,-118.245000,3897.000000
5.125,5.140243,3.798298,39058.278722,37.582778,-118.243889,3903.000000
5.25,5.360097,3.797173,39041.002557,37.582500,-118.242222,3901.000000
5.375,5.396043,3.801322,39043.524156,37.582500,-118.241944,3904.000000
5.5,5.503857,3.775705,39049.313937,37.582500,-118.241111,3887.000000
5.625,5.733044,3.794917,34309.958678,37.540000,-118.244722,3563.000000
5.75,5.855721,3.860645,34320.279425,37.540000,-118.243889,3603.000000
5.875,5.983744,3.910067,34299.326961,37.539722,-118.243056,3631.000000
6,6.123011,3.928685,34215.700673,37.538889,-118.242222,3636.000000
6.125,6.163999,3.926692,34218.259562,37.538889,-118.241944,3635.000000
6.25,6.327891,3.932057,34229.257902,37.538889,-118.240833,3639.000000
6.375,6.474173,3.937736,34114.834282,37.537778,-118.240000,3634.000000
6.5,6.6094,3.949283,34062.338846,37.537222,-118.239167,3637.000000
6.625,6.726672,3.967900,34102.496094,37.537500,-118.238333,3651.000000
6.75,6.872224,3.995189,34207.561913,37.538333,-118.237222,3675.000000
6.875,6.995024,4.044172,34218.721189,37.538333,-118.236389,3705.000000
7,7.124205,4.093657,34199.390934,37.538056,-118.235556,3733.000000
7.125,7.246983,4.145918,34211.076922,37.538056,-118.234722,3765.000000
7.25,7.369693,4.194784,34222.791903,37.538056,-118.233889,3795.000000
7.375,7.46497,4.232020,34169.564567,37.537500,-118.233333,3813.000000
7.5,7.546853,4.242872,34176.540264,37.537500,-118.232778,3820.000000
7.625,7.642551,4.235015,34121.368893,37.536944,-118.232222,3811.000000
7.75,7.752651,4.209985,34004.175517,37.535833,-118.231667,3787.000000
7.875,7.890337,4.196514,33952.344788,37.535278,-118.230833,3775.000000
8,8.021117,4.180662,33931.241234,37.535000,-118.230000,3764.000000
8.125,8.21792,4.208400,17819.415124,37.391667,-118.254722,2542.000000
8.25,8.296422,4.210743,17823.022399,37.391667,-118.254444,2543.000000
8.375,8.389425,4.210898,17796.012609,37.391389,-118.254167,2541.000000
8.5,8.546535,4.180244,17802.572582,37.391389,-118.253611,2532.000000
8.625,8.70858,4.206162,11615.411515,37.336389,-118.263611,2074.000000
8.75,8.828924,4.239193,11619.687087,37.336389,-118.263333,2081.000000
8.875,8.94919,4.272181,11624.017537,37.336389,-118.263056,2088.000000
9,9.093491,4.306801,11597.887733,37.336111,-118.262778,2093.000000
9.125,9.213905,4.320088,11602.029466,37.336111,-118.262500,2096.000000
9.25,9.334237,4.318580,11605.991458,37.336111,-118.262222,2096.000000
9.375,9.454485,4.317053,11610.004389,37.336111,-118.261944,2096.000000
9.5,9.574649,4.310590,11613.991313,37.336111,-118.261667,2095.000000
9.625,9.694728,4.289360,11617.799379,37.336111,-118.261389,2091.000000
9.75,9.852638,4.273191,33290.652615,37.527778,-118.219167,3768.000000
9.875,9.987165,4.321936,33275.226150,37.527500,-118.218333,3795.000000
